
Org,Amount,Reason,Class,Why,EIN,Website,CharityNavigator,GuideStar,Summary
Street Life Ministries,,homeless,Local,"Literally across the street from us, this organization delivers food and connection to the homeless in our community.",45-3602635,https://www.streetlifeministries.org,https://www.charitynavigator.org/ein/453602635,https://www.guidestar.org/profile/45-3602635,"Faith‑based organization serving the homeless and impoverished population by coordinating volunteers to provide meals, counseling and connections to resources."
Palo Alto Friends Meeting,,church,Local,"Our local Quaker meeting; they help build community and advocate for peace both locally and globally, including programs in Haiti and elsewhere.",94-6106068,https://www.pafm.org,https://www.charitynavigator.org/ein/946106068,https://www.guidestar.org/profile/94-6106068,"Quaker meeting community rooted in love, simplicity and equality that welcomes all and lives testimonies of peace, integrity, community and stewardship."
Starship Orion,,education,Local,"Our PTO for our school: this helps provide after-school tutoring, field trips, supplemental equipment and supplies for instruction.",94-3179780,https://www.starshiporion.org,https://www.charitynavigator.org/ein/943179780,https://www.guidestar.org/profile/94-3179780,Parent–teacher organization for the Orion Alternative and Mandarin Immersion programs that funds resources and hosts community events to support students and families.
Redwood City Mandarin Immersion Scholars,,education,Local,"A local charity that helps provide supports for our public Mandarin Immersion program, including aides to help children struggling with a new language. The scientific evidence for the cognitive benefits of bilingualism are clear - we need to support more such programs in our country.",82-3449819,https://www.rcmis.org,https://www.charitynavigator.org/ein/823449819,https://www.guidestar.org/profile/82-3449819,"Group that supports Redwood City School District’s Mandarin Immersion program by providing teacher aides, school supplies and community‑building activities."
Doctors Without Borders,,health,Global,,13-3433452,https://www.doctorswithoutborders.org,https://www.charitynavigator.org/ein/133433452,https://www.guidestar.org/profile/13-3433452,"International organization providing impartial medical humanitarian assistance to people affected by conflict, epidemics and disasters around the world."
Feeding America,,food,National,,36-3673599,https://www.feedingamerica.org,https://www.charitynavigator.org/ein/363673599,https://www.guidestar.org/profile/36-3673599,Nationwide network of food banks and programs that feeds the hungry and addresses root causes of food insecurity in the United States.
Level Playing Field Institute,,education,National,,91-2088635,https://www.smash.org,https://www.charitynavigator.org/ein/912088635,https://www.guidestar.org/profile/91-2088635,SMASH (formerly Level Playing Field Institute) builds a diverse tech workforce by providing STEM education and experiential programs for high‑school and college students from underrepresented backgrounds.
Second Harvest,,food,Local,A very effective food program for the hungry and needy in Silicon Valley.,94-2614101,https://www.shfb.org,https://www.charitynavigator.org/ein/942614101,https://www.guidestar.org/profile/94-2614101,Second Harvest of Silicon Valley leads the community to ensure that anyone who needs a healthy meal can get one by distributing nutritious food through partners and programs.
Mercy Corps,,health,Global,,91-1148123,https://www.mercycorps.org,https://www.charitynavigator.org/ein/911148123,https://www.guidestar.org/profile/91-1148123,"Global humanitarian organization working to alleviate suffering, poverty and oppression by helping people build secure, productive and just communities."
Project HOPE,,health,Global,,53-0242962,https://www.projecthope.org,https://www.charitynavigator.org/ein/530242962,https://www.guidestar.org/profile/53-0242962,Health and humanitarian organization that empowers local health workers to save lives and improve care for people around the world.
United Way of Northern CA,,health,National,,94-1251675,https://www.norcalunitedway.org,https://www.charitynavigator.org/ein/941251675,https://www.guidestar.org/profile/94-1251675,"United Way affiliate that mobilizes resources to improve education, financial stability and health in Northern California communities."
Against Malaria Foundation,,health,Global,"A non-profit that purchases and distributes mosquito nets for emerging market. This simple strategy greatly reduces malaria spread in communities, saving lives.",20-3069841,https://www.againstmalaria.com,https://www.charitynavigator.org/ein/203069841,https://www.guidestar.org/profile/20-3069841,Organization that helps protect people from malaria by funding and distributing long‑lasting insecticidal nets and monitoring their use to reduce disease.
Save The Children Federation,,health,Global,,06-0726487,https://www.savethechildren.org,https://www.charitynavigator.org/ein/060726487,https://www.guidestar.org/profile/06-0726487,"International charity that champions children’s rights by delivering health care, education and protection, especially in crises, to transform children’s futures."
Lung Cancer Research Foundation,,health,National,David's mother died of lung cancer as a non-smoker. Lung cancer is one of the top killers of women and receives dramatically less investment-per-death than breast cancer.,14-1935776,https://www.lungcancerresearchfoundation.org,https://www.charitynavigator.org/ein/141935776,https://www.guidestar.org/profile/14-1935776,"Foundation dedicated to supporting research to improve lung cancer treatments, early detection and prevention, and ultimately find a cure."
Lung Cancer Foundation of America,,health,National,David's mother died of lung cancer as a non-smoker. Lung cancer is one of the top killers of women and receives dramatically less investment-per-death than breast cancer.,20-8730839,https://lcfamerica.org,https://www.charitynavigator.org/ein/208730839,https://www.guidestar.org/profile/20-8730839,Nonprofit that aims to improve survivorship of lung cancer patients by funding transformative scientific research and raising awareness.
Lungevity Foundation,,health,National,David's mother died of lung cancer as a non-smoker. Lung cancer is one of the top killers of women and receives dramatically less investment-per-death than breast cancer.,36-4433410,https://www.lungevity.org,https://www.charitynavigator.org/ein/364433410,https://www.guidestar.org/profile/36-4433410,"Organization that strives to improve survival and quality of life for people affected by lung cancer through research, advocacy and community support."
Prostate Cancer Foundation,,health,National,David's father died of prostate cancer.,95-4418411,https://www.pcf.org,https://www.charitynavigator.org/ein/954418411,https://www.guidestar.org/profile/95-4418411,Foundation that funds innovative research and educates the public to eliminate death and suffering from prostate cancer.
Zero - The End of Prostate Cancer,,health,National,David's father died of prostate cancer.,59-3400922,https://zerocancer.org,https://www.charitynavigator.org/ein/593400922,https://www.guidestar.org/profile/59-3400922,"Organization working to end prostate cancer by funding research, providing patient support and raising awareness through events and advocacy."
National Brain Tumor Society,,health,National,David's brother got brain cancer.,04-3068130,https://braintumor.org,https://www.charitynavigator.org/ein/043068130,https://www.guidestar.org/profile/04-3068130,Nonprofit committed to improving survival and quality of life for people affected by brain tumors and ultimately finding a cure.
Evidence Action,,health,Global,"A non-profit that makes high-impact donations in turn to causes that make a large impact per dollar, such as deworming children in sub-Saharan Africa.",90-0874591,https://www.evidenceaction.org,https://www.charitynavigator.org/ein/900874591,https://www.guidestar.org/profile/90-0874591,"Global development organization that scales evidence‑based programs to reduce poverty and improve health, filling the gap between research and implementation."
Shanti Bhavan Childrens Project,,health,Global,,26-4188445,https://www.shantibhavan.org,https://www.charitynavigator.org/ein/264188445,https://www.guidestar.org/profile/26-4188445,Indian boarding school program providing 17 years of educational and holistic support to children from severe poverty to help them become leaders and break generational poverty.
RAICES,,justice,National,,74-2436920,https://www.raicestexas.org,https://www.charitynavigator.org/ein/742436920,https://www.guidestar.org/profile/74-2436920,"Refugee and Immigrant Center for Education and Legal Services providing free or low‑cost legal and social services to under‑served immigrant children, families and refugees."
Code for America,,justice,National,Helping Americans access their government services more easily by investing in modern and usable technology.,27-1067272,https://codeforamerica.org/,https://www.charitynavigator.org/ein/271067272,https://www.guidestar.org/profile/27-1067272,"Nonprofit organization that uses technology to make government services more accessible, effective and human-centered for all Americans."
Sankara Eye Foundation,,health,Global,This non-profit performs free eye surgeries in India to restore eyesight to the blind; they are on track to restore eyesight to a million people a year!,77-6141976,https://www.giftofvision.org/,https://www.charitynavigator.org/ein/776141976,https://www.guidestar.org/profile/77-6141976,"Nonprofit dedicated to eliminating curable blindness in India by providing free eye care services, training medical personnel and establishing sustainable eye care centers."
GiveDirectly,,justice,Global,GiveDirectly makes direct cash grants to the very poor; this straightforward and low-overhead strategy has been proven surprisingly effective at lifting many out of poverty.,27-1661997,https://www.givedirectly.org/,https://www.charitynavigator.org/ein/271661997,https://www.guidestar.org/profile/27-1661997,"International nonprofit that provides unconditional cash transfers directly to people living in extreme poverty, allowing recipients to use the money for their most pressing needs."
International Medical Corps,,health,Global,,95-3949646,https://internationalmedicalcorps.org/,https://www.charitynavigator.org/ein/953949646,https://www.guidestar.org/profile/95-3949646,"Global humanitarian nonprofit that saves lives by training and providing health care, emergency relief and development programs to those in need worldwide."
Nurse Family Partnership,,health,National,,20-0234163,https://changent.org/what-we-do/nurse-family-partnership/,https://www.charitynavigator.org/ein/200234163,https://www.guidestar.org/profile/20-0234163,"Evidence-based program that pairs first-time mothers with registered nurses during pregnancy and through child's second birthday to improve health and economic outcomes."
National Forest Foundation,,environment,National,,52-1786332,https://www.nationalforests.org/,https://www.charitynavigator.org/ein/521786332,https://www.guidestar.org/profile/52-1786332,"Conservation organization that engages Americans in community-based and national forest conservation to promote the health and public enjoyment of the National Forest System."
Center for Investigative Reporting,,justice,Global,,94-2434026,https://revealnews.org/,https://www.charitynavigator.org/ein/942434026,https://www.guidestar.org/profile/94-2434026,"Nonprofit newsroom that produces investigative journalism through Reveal to expose corruption, hold institutions accountable and create positive change."
Mongabay,,environment,Global,,45-3714703,https://mongabay.org/,https://www.charitynavigator.org/ein/453714703,https://www.guidestar.org/profile/45-3714703,"Environmental science and conservation news platform that provides information and analysis about environmental issues, particularly forests, climate change and wildlife conservation."
World Central Kitchen,,food,Global,,27-3521132,https://wck.org/,https://www.charitynavigator.org/ein/273521132,https://www.guidestar.org/profile/27-3521132,"Nonprofit organization that provides meals in response to humanitarian, climate and community crises while building resilience and stronger food systems."
First Nation Development Institute,,justice,National,,54-1254491,https://www.firstnations.org/,https://www.charitynavigator.org/ein/541254491,https://www.guidestar.org/profile/54-1254491,"Native American nonprofit that strengthens American Indian economies to support healthy Native communities through capacity building, training and technical assistance, research and advocacy."
Lucille Packard Foundation for Children's Health,,health,Global,We donate to the Monje Research Lab at Stanford through LPFCH; it is one of the most high impact pediatric brain cancer research labs in the world.,77-0440090,https://lpfch.org/,https://www.charitynavigator.org/ein/770440090,https://www.guidestar.org/profile/77-0440090,"Foundation that supports the health and well-being of children and expectant mothers through grants, advocacy and innovative programs that address systemic inequities in healthcare."
